row_id,grammar,lats,K,N,pd,true_pct,src,verbatim,span,N,K,log2K,pd,m_s,fresh,mean_lag,std_lag,max_lag,min_lag,r,m
33,d15,"[0, 0, 0, 15, 15, 30]",2,6,3,41.7,spin9-output.txt,"42/144 |       d15 | [0, 0, 0, 15, 15, 30] |         2 |       406 |       428 |       428 |       417 |       405 |      41.7 |     17968 |    578442",30,6,2,1.0,3,0.291667,3,10.0,11.18034,30,0,2.0,0.857143
34,d15,"[0, 0, 0, 15, 15, 30]",4,6,3,45.3,spin9-output.txt,"42/144 |       d15 | [0, 0, 0, 15, 15, 30] |         4 |       457 |       444 |       459 |       454 |       450 |      45.3 |     15867 |    373815",30,6,4,2.0,3,0.291667,3,10.0,11.18034,30,0,2.0,0.857143
35,d15,"[0, 0, 0, 15, 15, 30]",8,6,3,44.6,spin9-output.txt,"42/144 |       d15 | [0, 0, 0, 15, 15, 30] |         8 |       452 |       447 |       436 |       446 |       449 |      44.6 |     15833 |    377273",30,6,8,3.0,3,0.291667,3,10.0,11.18034,30,0,2.0,0.857143
36,g2,"[0, 4, 8, 12, 16, 30]",1,6,3,20.2,spin9-output.txt,"42/144 |        g2 | [0, 4, 8, 12, 16, 30] |         1 |       198 |       201 |       203 |       204 |       204 |      20.2 |     12971 |    302010",30,6,1,0.0,3,0.291667,2,11.666667,9.689628,30,0,2.0,0.857143
37,g2,"[0, 4, 8, 12, 16, 30]",2,6,3,35.8,spin9-output.txt,"42/144 |        g2 | [0, 4, 8, 12, 16, 30] |         2 |       366 |       332 |       355 |       372 |       365 |      35.8 |     14156 |    351843",30,6,2,1.0,3,0.291667,2,11.666667,9.689628,30,0,2.0,0.857143
38,g2,"[0, 4, 8, 12, 16, 30]",4,6,3,20.6,spin9-output.txt,"42/144 |        g2 | [0, 4, 8, 12, 16, 30] |         4 |       203 |       207 |       205 |       213 |       204 |      20.6 |     12610 |    278762",30,6,4,2.0,3,0.291667,2,11.666667,9.689628,30,0,2.0,0.857143
39,g2,"[0, 4, 8, 12, 16, 30]",8,6,3,23.2,spin9-output.txt,"42/144 |        g2 | [0, 4, 8, 12, 16, 30] |         8 |       232 |       236 |       232 |       231 |       228 |      23.2 |     12406 |    276034",30,6,8,3.0,3,0.291667,2,11.666667,9.689628,30,0,2.0,0.857143
40,stag,"[0, 0, 0, 10, 20, 30]",1,6,3,50.3,spin9-output.txt,"42/144 |      stag | [0, 0, 0, 10, 20, 30] |         1 |       509 |       503 |       499 |       499 |       503 |      50.3 |     16250 |    446416",30,6,1,0.0,3,0.291667,3,10.0,11.547005,30,0,2.0,0.857143
41,stag,"[0, 0, 0, 10, 20, 30]",2,6,3,50.8,spin9-output.txt,"42/144 |      stag | [0, 0, 0, 10, 20, 30] |         2 |       511 |       519 |       511 |       491 |       509 |      50.8 |     16938 |    535324",30,6,2,1.0,3,0.291667,3,10.0,11.547005,30,0,2.0,0.857143
42,stag,"[0, 0, 0, 10, 20, 30]",4,6,3,42.4,spin9-output.txt,"42/144 |      stag | [0, 0, 0, 10, 20, 30] |         4 |       416 |       426 |       425 |       435 |       418 |      42.4 |     16761 |    387468",30,6,4,2.0,3,0.291667,3,10.0,11.547005,30,0,2.0,0.857143
43,stag,"[0, 0, 0, 10, 20, 30]",8,6,3,44.6,spin9-output.txt,"42/144 |      stag | [0, 0, 0, 10, 20, 30] |         8 |       441 |       440 |       450 |       448 |       452 |      44.6 |     16538 |    385841",30,6,8,3.0,3,0.291667,3,10.0,11.547005,30,0,2.0,0.857143
44,q4_2,"[0, 0, 0, 0, 30, 30]",1,6,3,45.4,spin9-output.txt;spin5-output.txt,"48/144 |      q4_2 | [0, 0, 0, 0, 30, 30] |         1 |       461 |       468 |       448 |       446 |       449 |      45.4 |     17820 |    584323",30,6,1,0.0,3,0.333333,4,10.0,14.142136,30,0,2.0,0.857143
45,q4_2,"[0, 0, 0, 0, 30, 30]",2,6,3,53.4,spin9-output.txt;spin5-output.txt,"48/144 |      q4_2 | [0, 0, 0, 0, 30, 30] |         2 |       534 |       557 |       559 |       507 |       515 |      53.4 |     15970 |    668761",30,6,2,1.0,3,0.333333,4,10.0,14.142136,30,0,2.0,0.857143
46,q4_2,"[0, 0, 0, 0, 30, 30]",4,6,3,45.4,spin9-output.txt,"48/144 |      q4_2 | [0, 0, 0, 0, 30, 30] |         4 |       449 |       457 |       452 |       460 |       453 |      45.4 |     19502 |    510183",30,6,4,2.0,3,0.333333,4,10.0,14.142136,30,0,2.0,0.857143
47,q4_2,"[0, 0, 0, 0, 30, 30]",8,6,3,47.9,spin9-output.txt,"48/144 |      q4_2 | [0, 0, 0, 0, 30, 30] |         8 |       484 |       480 |       471 |       483 |       477 |      47.9 |     19018 |    503999",30,6,8,3.0,3,0.333333,4,10.0,14.142136,30,0,2.0,0.857143
48,d20,"[0, 0, 0, 20, 20, 30]",1,6,3,50.2,spin9-output.txt,"52/144 |       d20 | [0, 0, 0, 20, 20, 30] |         1 |       506 |       506 |       501 |       504 |       494 |      50.2 |     15269 |    499092",30,6,1,0.0,3,0.361111,3,11.666667,12.133516,30,0,2.0,0.857143
49,d20,"[0, 0, 0, 20, 20, 30]",2,6,3,41.0,spin9-output.txt,"52/144 |       d20 | [0, 0, 0, 20, 20, 30] |         2 |       416 |       431 |       422 |       392 |       388 |      41.0 |     17992 |    570819",30,6,2,1.0,3,0.361111,3,11.666667,12.133516,30,0,2.0,0.857143
50,d20,"[0, 0, 0, 20, 20, 30]",4,6,3,35.8,spin9-output.txt,"52/144 |       d20 | [0, 0, 0, 20, 20, 30] |         4 |       355 |       357 |       363 |       356 |       360 |      35.8 |     18384 |    435818",30,6,4,2.0,3,0.361111,3,11.666667,12.133516,30,0,2.0,0.857143
51,d20,"[0, 0, 0, 20, 20, 30]",8,6,3,37.2,spin9-output.txt,"52/144 |       d20 | [0, 0, 0, 20, 20, 30] |         8 |       365 |       366 |       369 |       381 |       380 |      37.2 |     18259 |    437124",30,6,8,3.0,3,0.361111,3,11.666667,12.133516,30,0,2.0,0.857143
52,d24,"[0, 0, 0, 24, 24, 30]",1,6,3,49.9,spin9-output.txt,"60/144 |       d24 | [0, 0, 0, 24, 24, 30] |         1 |       505 |       504 |       492 |       501 |       492 |      49.9 |     14628 |    563127",30,6,1,0.0,3,0.416667,3,13.0,13.152946,30,0,2.0,0.857143
53,d24,"[0, 0, 0, 24, 24, 30]",2,6,3,34.6,spin9-output.txt,"60/144 |       d24 | [0, 0, 0, 24, 24, 30] |         2 |       346 |       352 |       359 |       329 |       343 |      34.6 |     19276 |    692118",30,6,2,1.0,3,0.416667,3,13.0,13.152946,30,0,2.0,0.857143
54,d24,"[0, 0, 0, 24, 24, 30]",4,6,3,29.9,spin9-output.txt,"60/144 |       d24 | [0, 0, 0, 24, 24, 30] |         4 |       299 |       291 |       296 |       303 |       306 |      29.9 |     20403 |    490513",30,6,4,2.0,3,0.416667,3,13.0,13.152946,30,0,2.0,0.857143
55,d24,"[0, 0, 0, 24, 24, 30]",8,6,3,30.7,spin9-output.txt,"60/144 |       d24 | [0, 0, 0, 24, 24, 30] |         8 |       304 |       305 |       312 |       311 |       301 |      30.7 |     20252 |    490799",30,6,8,3.0,3,0.416667,3,13.0,13.152946,30,0,2.0,0.857143
56,ladder,"[0, 6, 12, 18, 24, 30]",1,6,3,26.8,spin9-output.txt;spin5-output.txt;spin4-output.txt;spin4-output.txt;spin11-output.txt,"60/144 |    ladder | [0, 6, 12, 18, 24, 30] |         1 |       264 |       253 |       266 |       281 |       274 |      26.8 |     14952 |    366275",30,6,1,0.0,3,0.416667,2,15.0,10.246951,30,0,2.0,0.857143
57,ladder,"[0, 6, 12, 18, 24, 30]",2,6,3,28.9,spin9-output.txt;spin5-output.txt;spin4-output.txt;spin4-output.txt,"60/144 |    ladder | [0, 6, 12, 18, 24, 30] |         2 |       267 |       297 |       300 |       287 |       293 |      28.9 |     16776 |    497142",30,6,2,1.0,3,0.416667,2,15.0,10.246951,30,0,2.0,0.857143
58,ladder,"[0, 6, 12, 18, 24, 30]",4,6,3,12.8,spin9-output.txt,"60/144 |    ladder | [0, 6, 12, 18, 24, 30] |         4 |       125 |       125 |       126 |       132 |       130 |      12.8 |     14773 |    321761",30,6,4,2.0,3,0.416667,2,15.0,10.246951,30,0,2.0,0.857143
59,ladder,"[0, 6, 12, 18, 24, 30]",8,6,3,14.0,spin9-output.txt;spin4-output.txt;spin4-output.txt,"60/144 |    ladder | [0, 6, 12, 18, 24, 30] |         8 |       138 |       137 |       136 |       147 |       141 |      14.0 |     14804 |    324841",30,6,8,3.0,3,0.416667,2,15.0,10.246951,30,0,2.0,0.857143
60,tri,"[0, 0, 15, 15, 30, 30]",1,6,3,30.2,spin9-output.txt;spin5-output.txt,"66/144 |       tri | [0, 0, 15, 15, 30, 30] |         1 |       299 |       280 |       293 |       315 |       325 |      30.2 |     17428 |    479496",30,6,1,0.0,3,0.458333,2,15.0,12.247449,30,0,2.0,0.857143
61,tri,"[0, 0, 15, 15, 30, 30]",2,6,3,30.2,spin9-output.txt;spin5-output.txt,"66/144 |       tri | [0, 0, 15, 15, 30, 30] |         2 |       285 |       307 |       315 |       290 |       313 |      30.2 |     18902 |    627744",30,6,2,1.0,3,0.458333,2,15.0,12.247449,30,0,2.0,0.857143
